"brand","detail_link","id","image","name","price","quantity_rating","rating"
"Hourglass","https://www.sephora.com/product/hourglass-confession-trade-ultra-slim-high-intensity-refillable-lipstick-red-0-P469476?skuId=2390284","P469476","https://www.sephora.com/productimages/sku/s2390284-main-zoom.jpg?imwidth=270","Confession™ Ultra Slim High Intensity Refillable Lipstick - Red 0","$39.00","27","4.67"
"Hourglass","https://www.sephora.com/product/hourglass-unlocked-satin-creme-lipstick-red-0-P504339?skuId=2637718","P504339","https://www.sephora.com/productimages/sku/s2637718-main-zoom.jpg?imwidth=270","Unlocked Satin Creme Lipstick- Red 0","$38.00","26","4.69"
"NATASHA DENONA","https://www.sephora.com/product/natasha-denona-i-need-nude-lip-liner-P467783?skuId=2647121","P467783","https://www.sephora.com/productimages/sku/s2647121-main-zoom.jpg?imwidth=270","I Need A Nude Lip Liner","$24.00","274","4.63"
"ISAMAYA","https://www.sephora.com/product/lip-liner-universal-lip-liner-P515464?skuId=2855625","P515464","https://www.sephora.com/productimages/sku/s2855625-main-zoom.jpg?imwidth=270","Lip Liner- Universal Lip Liner","$28.00","10","4.30"
"NUDESTIX","https://www.sephora.com/product/gel-color-lip-cheek-balm-P408286?skuId=1825975","P408286","https://www.sephora.com/productimages/sku/s1825975-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Tinted Gel Lip Balm","$27.00","107","4.42"
"DIOR","https://www.sephora.com/product/dior-addict-lip-sugar-scrub-P416366?skuId=1916857","P416366","https://www.sephora.com/productimages/sku/s1916857-main-zoom.jpg?imwidth=270","Dior Addict Lip Sugar Scrub","$40.00","225","4.27"
"Bobbi Brown","https://www.sephora.com/product/crushed-liquid-lip-P439913?skuId=2182806","P439913","https://www.sephora.com/productimages/sku/s2182806-main-zoom.jpg?imwidth=270","Crushed Liquid Lipstick","$33.00","805","4.42"
"Freck Beauty","https://www.sephora.com/product/freck-beauty-rich-bitch-primer-balm-og-P512558?skuId=2812626","P512558","https://www.sephora.com/productimages/sku/s2812626-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Best of Rich Bitch Primer and Lip Balm Set","$39.00","6","3.33"
"Yves Saint Laurent","https://www.sephora.com/product/rouge-pur-couture-matte-slim-lipstick-P436506?skuId=2341519","P436506","https://www.sephora.com/productimages/sku/s2341519-main-zoom.jpg?imwidth=270","Rouge Pur Couture The Slim Matte Lipstick","$48.00","800","4.54"
"HUDA BEAUTY","https://www.sephora.com/product/power-bullet-matte-lipstick-P450511?skuId=2198661","P450511","https://www.sephora.com/productimages/sku/s2198661-main-zoom.jpg?imwidth=270","Power Bullet Matte Lipstick - Throwback Collection","$27.00","305","4.00"
"Gucci","https://www.sephora.com/product/gucci-baume-nourrissant-universal-nourishing-balm-P500476?skuId=2585982","P500476","https://www.sephora.com/productimages/sku/s2585982-main-zoom.jpg?imwidth=270","Multipurpose Hydrating and Nourishing Balm","$55.00","153","3.66"
